Copies	Nickname	card_background	cardname	cardtypeimage	cardimage	cardimage style	cardtype	cardtext	card number	set name	rarity
1			Benji, Hero of Benji Island	HAction.png	Benji.png		Unique Character - Human Hero	Actions: {icons/HAction.png} {icons/HAction.png} / Flying, speed / {icons/HAction.png}: *Justice* - Deal 1 damage to any player or character / 3/3	1	BS26	Uncommon
1			Noah, Calculator	PlusAction.png	Noah.png		Unique Character - Human Hero	Actions: {icons/PlusAction.png} / {icons/PlusAction.png} {icons/MinusAction.png}: *Planning *- Add a +1/+1 counter to any character you control. / 4/2	2	BS26	Uncommon
1			Jordan, Fire Master	MinusAction.png	Jordan.png		Unique Character - Human Hero	Actions: {icons/MinusAction.png} / Vigilance, reach / {icons/PlusAction.png} {icons/MinusAction.png}: *Fireball* - Deal 1 damage to up to 3 characters. Exhaust this character. / 3/4	3	BS26	Uncommon
1			Dr. Banana, Evil Mastermind	VAction.png	Dr. Banana.png		Unique Character - Banana Villain	Actions: {icons/VAction.png} {icons/VAction.png} {icons/QuestionAction.png} / {icons/VAction.png} {icons/VAction.png} {icons/VAction.png}x: *Robbery* - Draw 1 card per 3 {icons/VAction.png} actions spent. / 5/4	4	BS26	Uncommon
1			Tempter, Fistfighter	VAction.png	Tempter.png		Unique Character - Villain	Actions: {icons/VAction.png} {icons/WildAction.png} / {icons/WildAction.png} {icons/WildAction.png}: *Fistfight* - Fight target character. / 4/2	5	BS26	Uncommon
1			Saber, The Star	PlusAction.png	Saber.png		Unique Character - Star Villain	Actions: {icons/VAction.png} {icons/PlusAction.png} / {icons/WildAction.png} {icons/WildAction.png} {icons/WildAction.png}: *Conversion* - Gain {icons/VAction.png} {icons/VAction.png}. / {icons/QuestionAction.png}: *Power Up* - Choose a Villain character. That character gains +1/+1 until end of turn. / 3/3	6	BS26	Uncommon
1			Baby Stoplight, Laser Master	MinusAction.png	Baby Stoplight.png		Unique Character - Stoplight Villain	Actions: {icons/VAction.png} {icons/MinusAction.png} / Reach, vigilance / *Sniper* - Gain Lethal until end of turn, then fight target character. Exhaust this character. / 2/4	7	BS26	Uncommon
1			Zach, Rock Fighter	PlusAction.png	Zach.png		Unique Character - Human Hero	Actions: {icons/QuestionAction.png} {icons/PlusAction.png} {icons/MinusAction.png} {icons/QuestionAction.png}: *Hard as Rock* - Target character gains +0/+3 until end of turn. 3/4	8	BS26	Uncommon
1			Jack, Lightning Mage	MinusAction.png	Jack.png		Unique Character - Human Hero	Actions: {icons/QuestionAction.png} {icons/MinusAction.png} {icons/PlusAction.png} {icons/QuestionAction.png}: *Zap* - Deal this character's Attack as damage to target character. Exhaust this card. 4/2	9	BS26	Uncommon
1			The Photograpper, Evil Dude	VAction.png	Photograpper.png		Unique Character - Villain	Actions: {icons/PlusAction.png} {icons/MinusAction.png} / Vigilance / *Tax Evasion* - You may spend up to 2 Actions to activate this ability. At the start of the next turn, add these actions to your action pool, as the type of Actions spent to activate this ability. / 1/4	10	BS26	Uncommon
